Name,Year,Season,BMI
aphromoo,2018,summer,16.75788
aphromoo,2019,spring,14.938131
aphromoo,2019,summer,21.042818
aphromoo,2020,spring,15.387129999999999
aphromoo,2020,summer,15.78873
aphromoo,2021,spring,15.638933999999999
aphromoo,2021,summer,19.467346
aphromoo,2022,spring,20.480835
aphromoo,2022,summer,20.257611999999998
apii,2019,spring,18.484177
apii,2020,spring,23.196209
apii,2021,summer,21.576173999999998
apodo,2022,spring,21.146532
apollo (apollo price),2015,spring,20.335606
apollo (apollo price),2016,spring,18.945549
apollo (apollo price),2016,summer,20.653318
apollo (apollo price),2017,spring,21.938063
apollo (apollo price),2018,spring,23.193668
apollo (apollo price),2018,summer,27.934124
apollo (apollo price),2019,spring,16.799232
apollo (apollo price),2019,summer,22.234346
apollo (apollo price),2020,spring,20.556108
apollo (apollo price),2023,spring,24.999283
appen,2018,summer,21.203186
appen,2019,spring,22.562246
apple,2015,summer,21.613825
apples,2019,summer,17.413486
apples,2020,summer,18.609661
apples,2021,spring,15.203332999999999
aprobata,2018,summer,22.244978
aprobata,2019,spring,26.080214
aprobata,2020,spring,20.013187
aprobata,2021,spring,24.33693
aqua (lin wei-feng),2018,spring,20.168833
aquacloak,2023,spring,20.413645000000002
ar,2018,spring,24.441576
araneae,2014,spring,17.80754
araneae,2018,spring,17.673136
araneae,2018,summer,18.434914000000003
araneae,2019,spring,16.992924
araneae,2020,spring,19.840063
arcaneteddy,2021,summer,24.10473
arcaneteddy,2022,summer,24.944784
arcanic,2021,spring,23.334637
archer (lee keun-hee),2020,spring,25.954004
archer (lee keun-hee),2021,summer,20.664070000000002
ardo,2022,spring,20.789536
arendmen,2021,spring,20.856752
arendmen,2022,spring,24.309225
arendmen,2022,summer,25.099543
arendmen,2023,spring,20.82767
ares (kim min-kwon),2016,summer,21.883974
ares (kim min-kwon),2021,spring,23.828518
ares (kim min-kwon),2022,summer,26.241148
aria (an yu-run),2020,summer,22.063543
aria (lee ga-eul),2019,spring,20.749088
aria (lee ga-eul),2019,summer,21.299484
aria (lee ga-eul),2020,spring,16.501362
aria (lee ga-eul),2020,summer,18.207357000000002
aria (lee ga-eul),2021,spring,18.233746
aria (lee ga-eul),2022,summer,17.566322
aria (lee ga-eul),2023,spring,17.310291
ariana,2022,summer,19.178854
ariana,2023,spring,23.404764
arise,2019,spring,19.505598000000003
arise,2020,spring,21.517597
aristochrate,2020,spring,23.28575
arkhe,2021,spring,20.876734
armao,2017,summer,19.218544
armao,2018,spring,14.78558
armao,2019,spring,22.01792
armao,2019,summer,20.914745
armao,2020,spring,19.569886999999998
armao,2021,spring,20.634394
armao,2022,spring,18.312357000000002
armao,2022,summer,17.5803
armao,2023,spring,22.193428
armut,2018,summer,25.472544
armut,2019,spring,18.964474
armut,2020,spring,19.015823
armut,2020,summer,26.254593
armut,2021,spring,23.261244
armut,2021,summer,21.179064
armut,2022,spring,21.417385
armut,2022,summer,16.939562
armut,2023,spring,23.602829999999997
array,2022,summer,19.055492
array,2023,spring,21.780916
arrow,2015,summer,20.389381
arrow,2016,spring,19.327907999999997
arrow,2016,summer,21.990915
arrow,2017,spring,20.691425
arrow,2018,spring,24.09916
arrow,2018,summer,21.392195
arrow,2019,spring,25.401327
arrow,2019,summer,18.324968
arrow,2022,summer,20.258884
arrow,2023,spring,22.092419
art,2018,summer,23.84626
art,2019,spring,18.430784
art,2019,summer,20.928003
art,2020,spring,16.56131
artemis (connor doyle),2019,spring,21.78709
artemis (connor doyle),2022,spring,21.713635999999997
artorias,2019,spring,16.619474
arven,2017,summer,23.16173
arvindir,2020,spring,19.709185
arvindir,2021,spring,19.492472
arvindir,2022,summer,19.590046
arvindir,2023,spring,29.331142
as,2018,summer,17.200685999999997
as6,2018,spring,15.108346
as6,2019,spring,17.805145
as6,2020,spring,21.714376
as6,2020,summer,24.504097
asakura,2022,spring,19.881307999999997
ascalon,2020,summer,21.512613
ascalon,2021,spring,25.781557
ashanome,2021,spring,25.413414000000003
ashes,2023,spring,22.874868
asi,2018,summer,16.204584
askan,2022,spring,23.405043
asper,2018,summer,19.779385
asper,2019,spring,25.106363
asper,2019,summer,25.690638
asper,2022,spring,23.122757
asper,2022,summer,24.405929999999998
asper,2023,spring,23.470078
assam1,2019,spring,20.445372
assassin,2016,spring,19.650446
assassin,2016,summer,18.806791
assassin,2017,spring,18.248929999999998
assassin,2017,summer,17.663578
assassin,2018,spring,19.653528
assassin,2018,summer,21.610973
assassin,2019,spring,20.280075
assassin,2019,summer,20.320051
assassin,2020,spring,22.813408
assassin,2021,spring,23.233643
assassin,2022,summer,25.276026
assum,2020,spring,20.717138000000002
assum,2020,summer,20.341798999999998
assum,2021,spring,16.343048
assum,2021,summer,14.972635999999998
assum,2022,summer,19.113123
assum,2023,spring,17.948124
astraios,2022,summer,22.347801
asura (lu qi),2017,summer,24.981924
asura (lu qi),2018,spring,26.18839
asura (lu qi),2018,summer,20.843899
asura (lu qi),2019,spring,23.298275
asura (lu qi),2019,summer,26.495859999999997
asura (lu qi),2020,spring,20.234354
asura (lu qi),2021,summer,27.482822
asura (lu qi),2022,spring,20.6882
asura (lu qi),2022,summer,18.849897
asylumkubz,2020,summer,25.912815
asza,2018,summer,30.544092
asza,2020,spring,21.44891
asza,2021,spring,19.196260000000002
asza,2021,summer,18.028185
asza,2022,spring,19.939106
asza,2022,summer,16.316843
asza,2023,spring,22.730392000000002
athena,2016,spring,17.310194
athena,2016,summer,17.022404
athena,2017,spring,15.278227
athena,2017,summer,17.820272
athena,2018,spring,18.867563
attila,2018,spring,20.708679999999998
attila,2018,summer,19.561923999999998
attila,2019,spring,20.124706
attila,2019,summer,19.36303
attila,2020,spring,20.79976
attila,2020,summer,19.378304
attila,2021,spring,18.164873
attila,2021,summer,19.32281
attila,2022,spring,19.314648000000002
attila,2022,summer,19.182968
attila,2023,spring,18.533623000000002
august,2018,summer,18.040186
august,2019,spring,20.819525
august,2020,spring,19.421173
august,2020,summer,23.220523999999997
autumn (jeong soo-hwan),2019,spring,22.511545
avalon,2015,spring,14.089481
avarice,2022,spring,18.215324
avenger0,2015,summer,21.029379000000002
avenger0,2017,summer,21.625328
avenger0,2018,summer,17.652088
avenger0,2019,spring,20.850270000000002
avenger0,2019,summer,22.995260000000002
avoidless,2016,spring,20.221586
avoidless,2016,summer,18.88671
avoidless,2017,spring,18.95722
avoidless,2017,summer,19.946917000000003
avoidless,2018,spring,21.537354
avoidless,2018,summer,26.16655
avra,2022,spring,16.489489000000003
avra,2023,spring,19.162155
awei (zhao a-wei),2016,summer,20.48784
awei (zhao a-wei),2017,spring,16.2947
awei (zhao a-wei),2017,summer,18.038235
awei (zhao a-wei),2018,spring,14.439860999999999
awful,2021,spring,17.810728
axiu,2018,spring,23.096277
axiu,2018,summer,21.315256
ayuny,2018,spring,21.578377
ayuny,2018,summer,27.32821
azguard,2022,summer,17.421797
aziado,2018,spring,18.503667999999998
aziado,2019,spring,26.034922
aziado,2019,summer,33.50054
aziado,2020,spring,33.958065000000005
aziado,2022,spring,30.372057
aziado,2022,summer,27.755352000000002
aziado,2023,spring,27.604972999999998
azingy,2015,spring,18.385014
azitor,2023,spring,21.664762
b3nji,2016,spring,16.574875
b3nji,2016,summer,22.918806
b3nji,2017,spring,14.791020000000001
b3nji,2018,summer,24.186348000000002
b3nji,2019,spring,14.028297
babi9,2016,summer,29.519371000000003
babi9,2017,summer,23.014622
babi9,2018,spring,25.575834
babi9,2018,summer,21.247967000000003
babi9,2019,spring,23.625303
babi9,2019,summer,22.353223999999997
babo,2017,summer,16.477089000000003
babo,2018,spring,19.564401999999998
babo,2018,summer,19.581928
babo,2019,spring,18.713816
baby6,2018,spring,24.080814
baca,2019,spring,19.227694
baca,2019,summer,20.422646
baca,2020,spring,18.200926000000003
baca,2021,spring,20.115177
baca,2021,summer,20.370884
baca,2022,spring,21.976406
baca,2022,summer,19.294447
baca,2023,spring,16.035702
backlund,2018,summer,13.320321
backlund,2019,spring,18.463331
backlund,2020,spring,17.779486
backlund,2020,summer,17.669882
backlund,2021,spring,16.05368
backlund,2023,spring,19.535695999999998
bademan,2018,spring,18.502522
bademan,2018,summer,23.412384
bademan,2019,spring,20.980928
bademan,2019,summer,25.189157
bademan,2020,spring,24.96207
bademan,2021,spring,24.083975
badlulu,2022,spring,20.348654
badlulu,2022,summer,22.887182
badlulu,2023,spring,15.543817
badlyyga,2022,summer,20.574076
badlyyga,2023,spring,22.625334
baekho (baek seung-min),2021,spring,20.19594
baekho (baek seung-min),2021,summer,22.440977
baeme,2015,spring,21.735464
baeme,2015,summer,14.837554
baeme,2016,spring,19.645266
baeme,2017,spring,23.032857999999997
bafang,2018,summer,19.818996
bafang,2019,summer,20.481941
bafang,2020,spring,23.45435
bafang,2020,summer,22.754054999999997
bafang,2021,spring,20.466606
bafang,2021,summer,18.019756
bafang,2022,spring,21.597116
bafang,2022,summer,21.801025
bai (yu tan-hao),2020,spring,16.138462
baiyu,2021,spring,23.511470000000003
baiyu,2022,summer,17.02423
bakaprase,2020,spring,16.257984
bakaprase,2021,spring,17.71629
bako,2020,spring,15.251394
balkane,2022,spring,24.904873000000002
balkhan,2019,spring,23.104433
balkhan,2019,summer,15.353081
balkhan,2020,spring,16.903036
balls,2013,summer,14.039153
balls,2015,spring,13.056308999999999
balls,2015,summer,12.2056465
balls,2016,spring,15.198412
balls,2016,summer,14.407187
balls,2017,spring,15.569104000000001
balta129,2020,spring,28.032413000000002
balta129,2021,spring,31.803234000000003
balyy,2022,summer,23.168324
bananitoo,2018,spring,20.367838
bananitoo,2022,spring,13.838323
banderas,2022,summer,18.702576
banderas,2023,spring,21.013704
bang,2015,summer,21.591673
bang,2016,spring,20.373428
bang,2016,summer,18.72231
bang,2017,spring,17.146778
bang,2017,summer,20.096495
bang,2018,spring,17.507204
bang,2018,summer,19.696793
bang,2019,spring,23.377354
bang,2019,summer,23.518948
bang,2020,spring,19.519026
bang,2020,summer,25.635069
bang,2021,spring,20.66134
bang,2021,summer,18.791842000000003
banks,2017,summer,19.235954
banks,2018,spring,18.280132000000002
banks,2018,summer,19.518597
banks,2019,summer,21.220102
bans,2017,summer,19.917473
bans,2018,summer,17.674828
bans,2019,summer,21.455042000000002
bans,2020,spring,20.827663
banye,2023,spring,16.979025
bao (jeong hyeon-woo),2021,spring,21.015572
bao (jeong hyeon-woo),2021,summer,22.615099
bao (jeong hyeon-woo),2023,spring,22.954937
baolan,2017,spring,23.342072
baolan,2017,summer,21.237602
baolan,2018,spring,17.537073
baolan,2018,summer,20.821335
baolan,2019,spring,18.935408
baolan,2020,spring,19.951284
baolan,2020,summer,20.4145
baolan,2021,spring,20.257109
baolan,2021,summer,19.649765
baolan,2023,spring,18.108632999999998
baran,2022,spring,24.141651
baran,2023,spring,26.07189
baroh,2019,summer,25.188786999999998
barrage (luc van gestel),2021,spring,21.180429999999998
basei,2021,spring,26.905511999999998
bay,2020,summer,25.322706
bay,2021,spring,25.740288
bay,2022,spring,23.691372
baybror,2019,summer,17.977383
baybror,2020,spring,17.494331
baybror,2020,summer,14.689159
baybror,2022,summer,15.059172
bbang,2017,spring,20.550064000000003
bbang,2017,summer,22.73927
bbmuffin,2019,spring,26.089046
bcc,2020,summer,19.51574
bcc,2021,spring,14.535201
bcc,2021,summer,20.446385999999997
bdd,2016,spring,18.519678
bdd,2016,summer,22.806883
bdd,2017,spring,20.846146
bdd,2017,summer,23.6054
bdd,2018,spring,21.596222
bdd,2018,summer,19.373896
bdd,2019,summer,25.69705
bdd,2020,spring,26.224659999999997
bdd,2020,summer,25.801443
bdd,2021,spring,24.409755999999998
bdd,2021,summer,25.728127999999998
bdd,2022,spring,26.042591
bdd,2022,summer,22.518642
bdd,2023,spring,27.492859999999997
